"","V1","V2","V3","V4","V5","V6"
"X24_16",1,1,1,1,1.99998434517355,1.99971371494206
"X26_49",1,1.97096858551134,1,1,1,1
"X33_22",1,1.57167853742161,1,1.1231897805603,1,1
"X48_67",1,1,1,1,1,1
"X109_46",1,1.99995402379774,1,1.9997498663648,1,1
"X118_53",1,1,1.83376753603331,1,1,1
"X119_25",1,1,1,1.13457376115436,1.75045078450065,1.21052631578947
"X124_62",1,1.24244631979439,1,1.95130354959509,1,1
"X152_53",1,1.6474509590849,1,1.37673730246594,1,1
"X154_47",1,1.99998265347381,1.16666666666667,1.13019891500904,1,1
"X159_53",1,1,1,1,1.99213411992555,1.51322901849218
"X167_17",1,1,1,1.06201550387597,1.90355424002268,1.49289191820837
"X175_27",1,1,1,1.69068752216374,1,1
"X188_25",1,1,1,1,1,1
"X196_40",1,1,1,1.9835844266581,1.16326530612245,1.35411020776874
"X199_62",1,1.08888888888889,1,1,1.99601513155715,1.99785215050712
"X207_26",1,1,1,1,1,1
"X212_31",1,1,1.99999146905397,1,1,1
"X220_65",1,1.97548093263911,1,1.98898732492599,1.30128339995792,1.80444707245507
"X233_62",1,1.96365055068178,1,1.6968522999476,1,1
"X238_13",1,1,1.8661365364022,1.0625,1,1
"X240_43",1,1,1,1,1.93159920981632,1.51322901849218
"X249_67",1,1.9243554758189,1,1,1,1
"X255_17",1,1.99852587236442,1,1.99995871124528,1.89345261529081,1.89623438206436
"X256_6",2,1,1.88119158475271,1,1,1
"X257_36",1,1,1,1,1.99944674184008,1.99445036172323
"X260_14",1,1.99104983974395,1,1,1,1
"X261_49",1,1.99998542979801,1.99844891815069,1.23717181473761,1,1
"X267_33",1,1.75934353659567,1,1.99794056127309,1.99971159922337,1.98811184390761
"X273_63",1,1,1.91911037184549,1,1,1
"X275_9",1,1.60697621093489,1.15686274509804,1.49918910625362,1.98240546164231,1.99993556113755
"X280_5",1,1.89415818135385,1,1,1,1
"X288_54",1,1.91753154864797,1,1,1,1
"X291_7",1,1.08695652173913,1,1,1.99778095252352,1.95026237464361
"X297_35",1,1.96750214796051,1,1.9987382736058,1.91988221369905,1.9993974415303
"X302_53",1,1.99965198443647,1.15094339622642,1.93958914404232,1,1
"X305_42",1,1.97644879999365,1,1.99991201338355,1,1
"X319_61",1,1.92106519268478,1,1.12132352941176,1,1
"X326_5",1,1,1,1.97850243901287,1,1
"X329_53",1,1,1,1,1.82113956208912,1.98986051596036
"X340_27",1,1.98671086234539,1,1,1,1
"X341_15",1,1.74213977103767,1,1.0650406504065,1.99778095252352,1.83291976773075
"X343_13",1,1,1.9999698399617,1,1,1
"X349_62",1,1,1,1.44352828668265,1,1
"X359_57",1,1,1,1,1,1
"X361_29",1,1,1.97378552437145,1,1,1
"X416_32",1,1,1,1.96293871624732,1,1
"X435_49",1,1,1,1,1.90905323899565,1.59826502611313
"X471_19",1,1,1,1,1,1
"X479_35",1,1.38266069329848,1,1.77605531235132,1.30128339995792,1.81384770151893
"X499_44",1,1,1.99801352693121,1,1,1
"X528_11",1,1.87794862074478,1,1.94848781611548,1,1
"X531_38",1,1.99303876422245,1,1.12224954094177,1,1
"X542_47",1,1,1,1.12041142581365,1.99844951457057,1.99998989354011
"X546_60",1,1.82567820661683,1,1.50524828363332,1,1
"X557_48",1,1.76699376900994,1,1.56863405272032,1,1
"X576_6",1,1,1.99916500339047,1,1,1
"X580_37",1,1,1,1,1.98447352095149,1.97165906609451
"X586_19",1,1,1.99998338988082,1,1,1
"X617_60",1,1,1.96357464247868,1,1,1
"X620_37",1,1.18192187054462,1,1,1.94546455846379,1.22857142857143
"X671_10",1,1,1.99998998685514,1,1,1
"X678_50",1,1,1,1,1,1
"X682_64",1,1.99764075409331,1.9018539178392,1.96966386548011,1.17777777777778,1.61297486849795
"X683_55",1,1,1,1,1,1
"X684_24",1,1.78559918428516,1.8503397235794,1.92255401171391,1.91698548481905,1.8812395462855
"X687_52",1,1,1,1.06779661016949,1.60892090365775,1.95936055130458
"X695_14",1,1,1,1,1.99881433447185,1.98187836895044
"X700_45",1,1.31316322828639,1,1.06451612903226,1.94954953916247,1.95936055130458
"X722_53",1,1.34300602020044,1.99997626311226,1.29176350028966,1.30128339995792,1.68284081008931
"X731_14",1,1.44439051279881,1,1.67734861871633,1.99955809373943,1.99779296858031
"X766_38",1,1.30721430823816,1,1.12132352941176,1,1
"X780_8",1,1.99998402373139,1,1.99840327323916,1,1
"X809_63",1,1.0952380952381,1,1.67968964699025,1,1
"X865_5",1,1,1,1,1,1
"X875_40",1,1,1,1.37426434682914,1,1
"X879_50",1,1.83354020911688,1,1.98012106415343,1,1
"X883_63",1,1.17988165680473,1,1,1.99998385586809,1.95073191516294
"X887_19",1,1,1,1.8721353974459,1.16666666666667,1.483288166215
"X900_45",1,1,1,1.12609922017587,1,1
"X926_7",1,1.84566824384198,1,1.93401939078434,1,1
"X932_17",1,1,1,1.12224954094177,1,1
"X933_11",1,1.99993641744608,1,1.99594038939411,1.99993880087034,1.99999010740725
"X986_56",1,1.70625101295099,1,1.63701022443718,1,1
"X1015_62",1,1.83857661707873,1,1,1,1
"X1034_51",2,1,1.99948116350352,1,1,1
"X1068_37",1,1.85422979360443,1,1,1,1
"X1069_62",1,1,1.9999567805297,1,1,1
"X1073_29",1,1,1,1.13571373367339,1,1
"X1078_18",1,1.68043800384888,1,1.32592364882899,1,1
"X1081_66",1,1.31016061523176,1,1.83463270740058,1,1
"X1095_55",1,1,1.91449636961988,1,1,1
"X1117_25",1,1.61566223887513,1,1.32812364671859,1,1
"X1123_41",1,1,1,1.29822620735011,1,1.38800444279896
"X1140_23",1,1.97688756063994,1,1.32375251155803,1,1
"X1151_52",1,1.78163225409966,1,1,1,1
"X1156_6",1,1.98213734217498,1,1.51000555069373,1,1
"X1159_40",1,1.6698783695476,1,1.98613895449577,1.99601513155715,1.99990843640319
"X1164_54",1,1,1,1.06299212598425,1.78139279810893,1.92903047333359
"X1170_28",1,1,1,1.72714581728103,1.99998419904135,1.99995841065623
"X1177_29",1,1,1,1.99985421032137,1,1
"X1196_68",1,1,1,1,1,1.21052631578947
"X1206_41",1,1,1,1.0625,1.95929311244766,1.92329383522505
"X1215_68",1.8,1,1,1,1,1
"X1217_59",1,1,1,1,1,1
"X1250_19",1,1.08695652173913,1.82040766829528,1.99996446929299,1.73347889084513,1.87281952469057
"X1264_29",1,1,1,1.18340418934467,1.99969224599866,1.99999010740725
"X1271_52",1,1.85117833265416,1,1.99952195995942,1,1
"X1293_13",1,1.99515926293157,1,1.99931468669457,1,1
"X1300_14",1,1.24490615780554,1,1.38695655876659,1,1
"X1372_24",1,1,1,1,1.73347889084513,1.98187836895044
"X1374_8",1,1,1,1.1231897805603,1.30128339995792,1.88875808320146
"X1375_62",1,1.42892176621833,1,1.77605531235132,1,1
"X1377_59",1,1.99343378315667,1,1,1,1
"X1400_48",1,1,1,1.89233900993169,1.99975170559517,1.98988195684819
"X1404_32",1,1.99046924438986,1,1.90580893659819,1,1
"X1407_33",1,1,1,1.34196254473111,1.9999056061136,1.99971371494206
"X1408_33",1,1,1,1.16338605074525,1,1
"X1418_56",1,1,1,1,1,1
"X1444_64",1,1.82919146653276,1,1.52416931198092,1,1
"X1469_56",1,1.8139567043071,1,1.064,1,1
"X1474_30",1,1.31316322828639,1,1.41284673092198,1,1
"X1475_32",2,1,1.99999170289527,1.06299212598425,1.99998802010681,1.99999726898234
"X1496_16",1,1,1,1,1.89345261529081,1.90800246543243
"X1510_36",1,1,1,1,1.95741753195118,1
"X1516_66",1,1.30721430823816,1,1,1,1
"X1529_59",1,1.99575319346134,1,1.23037942737985,1,1
"X1546_58",1,1.998139520561,1,1.9999637781473,1,1
"X1554_13",1,1,1,1.06201550387597,1.99987380386177,1.99999450473903
"X1559_44",1.96842105263158,1,1,1.1806513797124,1,1
"X1565_60",1,1,1,1.9470311441312,1,1
"X1574_33",1,1,1,1.12609922017587,1,1
"X1580_22",1,1,1.99999194876977,1,1,1
"X1581_56",1,1,1,1.12132352941176,1,1.483288166215
"X1583_30",1,1.91333597742346,1,1,1,1
"X1584_64",1,1,1,1.12414457831325,1.99998802010681,1.99615431947395
"X1592_49",1,1,1,1.65535284455824,1,1
"X1603_37",1,1,1.99996949626976,1,1,1
"X1604_13",1,1,1,1.90180522967077,1,1
"X1608_28",1,1.71481683286948,1,1.064,1.90355424002268,1.92903047333359
"X1612_16",1,1.84566824384198,1,1.07547169811321,1,1
"X1652_24",1,1,1.91449636961988,1,1,1
"X1655_53",1,1.88456047242391,1,1,1,1
"X1682_60",1,1.96750214796051,1,1.85484878300764,1.66734211119503,1.99445036172323
"X1693_56",1,1,1,1.81139899041654,1,1.20512820512821
"X1702_27",1,1,1,1,1,1
"X1710_46",1,1.95491534579826,1,1.23543668224607,1,1
"X1732_58",1,1,1,1.12511427452005,1,1
"X1755_46",1,1,1,1.87447049934125,1.99999477752234,1.99999378962868
"X1759_40",1,1.81386725011959,1,1.70831102498061,1,1
"X1767_37",1,1,1,1,1.97434389640251,1.3620253164557
"X1768_6",1,1.94547878533374,1,1.82312481665231,1.96984815096792,1.95681932344312
"X1771_29",1,1.6245683988075,1,1.38695655876659,1.97869629683162,1.90077710673853
"X1784_44",1,1.99942570147528,1.99999218148742,1.95566311516411,1,1
"X1788_42",1,1,1,1,1,1
"X1796_43",1,1.91191333096708,1,1.96933821894534,1,1
"X1837_10",1,1,1,1,1.836010515529,1.97307525868529
"X1846_13",1,1,1.95851681902659,1.34676165148717,1,1
"X1872_65",1,1,1,1.0625,1.99097917498045,1.74052348118418
"X1874_25",1,1.09756097560976,1.95254233298982,1,1,1
"X1879_53",1,1.08988764044944,1,1.99909193349472,1.99993509462762,1.999973245342
"X1889_14",1,1.37216864981767,1.99762117222871,1.86137577764137,1.96455617194495,1.99445036172323
"X1898_68",1,1.99977737936817,1,1.99977947331288,1,1
"X1912_33",1,1.52830421209722,1,1.98321690688371,1,1
"X1913_57",1,1.08695652173913,1,1.71706214661776,1,1
"X1924_13",1,1.80242918228065,1.99187341051584,1.9511725385092,1,1
"X1939_53",1,1,1,1.12041142581365,1,1
"X1941_33",1,1.99898165286832,1,1.8294852283043,1,1
"X1946_59",1,1,1,1.65230717477963,1.72519565707416,1.83885142515649
"X1960_14",1,1,1,1,1.75045078450065,1.90800246543243
"X1967_42",1,1.98671086234539,1,1.99995438907958,1,1
"X1985_60",1,1.96750214796051,1.9981760044538,1,1,1
"X2009_32",1,1,1.6428510513486,1,1,1
"X2010_55",1,1.99104983974395,1,1.23204101551339,1,1
"X2021_23",1,1.09090909090909,1,1,1.94094172850573,1.99663333116511
"X2025_17",1,1,1,1.96604727966448,1,1
"X2043_6",1,1.98986478878826,1,1.86890719694704,1.99315420037296,1.98593345220359
"X2050_26",1,1,1,1.99998107222698,1.96252435617357,1.99877345553593
"X2051_67",1,1.16678545972915,1,1.06201550387597,1.90355424002268,1.79515011672435
"X2061_31",1,1,1,1,1,1
"X2088_38",1,1,1,1.90381008197448,1.95354082642451,1.79218725722277
"X2097_45",1,1.37216864981767,1,1.98891758632962,1.99998378899527,1.99261682937418
"X2109_17",1,1,1,1.63321981532714,1,1
"X2116_19",1,1,1.99879360274258,1,1,1
"X2127_38",2,1.99995899707825,1,1.99076225324932,1.98286912204932,1.83291976773075
"X2142_52",1,1,1,1.07079646017699,1.99940101097586,1.99980532341753
"X2159_52",1,1.33941673817023,1,1.44591755337212,1,1
"X2175_50",1,1,1.6428510513486,1,1.99999423435898,1.99805218777885
"X2203_42",1,1.33941673817023,1,1.96975445283458,1,1
"X2213_55",1,1.09090909090909,1,1,1,1
"X2249_16",1,1.73373629828891,1,1.88781642968023,1.99998836333373,1.99986888548316
"X2277_68",1,1.36879525861699,1,1.06201550387597,1,1
"X2282_40",1,1.98853734388191,1.93261174650017,1.99969267015512,1.94094172850573,1.9989770927067
"X2284_22",1,1.97241550205172,1,1.12224954094177,1,1
"X2286_53",1,1,1.93349075018407,1,1,1
"X2298_62",1,1.88443149541404,1,1,1,1
"X2299_58",1,1,1,1.06451612903226,1.99997661291472,1.99999010740725
"X2302_31",1,1,1,1,1.51580165435681,1.98447352095149
"X2307_18",1,1.99845308215169,1,1.98732492629999,1,1
"X2340_50",1,1,1.98984176314549,1,1,1
